nome_x,nome_regiao,quantidade_nascimentos_ate_2010,genero
Aa,Sudeste,25,feminino
Aadriana,Sudeste,13,feminino
Aana,Sudeste,95,feminino
Aantonio,Sudeste,23,masculino
Aarao,Sudeste,38,masculino
Aarecida,Sudeste,39,feminino
Aaron,Sudeste,93,masculino
Abadia,Centro-Oeste,3495,feminino
Abadil,Centro-Oeste,11,masculino
Abadio,Centro-Oeste,497,masculino
Abbas,Sul,37,desconhecido
Abda,Sudeste,14,feminino
Abdala,Sudeste,53,masculino
Abdalla,Sudeste,17,desconhecido
Abdallah,Sudeste,16,desconhecido
Abdel,Centro-Oeste,13,masculino
Abdenego,Sudeste,11,masculino
Abdias,Nordeste,852,masculino
Abdiel,Sudeste,60,masculino
Abdo,Sudeste,99,masculino
Abdom,Sudeste,10,masculino
Abdon,Nordeste,175,masculino
Abdoral,Nordeste,72,masculino
Abdu,Sudeste,16,desconhecido
Abdul,Sudeste,45,masculino
Abedias,Sudeste,27,masculino
Abegail,Sul,36,feminino
Abeildo,Sudeste,10,masculino
Abel,Sudeste,8341,masculino
Abelar,Sudeste,44,masculino
Abelardo,Nordeste,999,masculino
Abelina,Sudeste,91,feminino
Abelino,Sudeste,69,masculino
Abelita,Sudeste,42,feminino
Abener,Sudeste,36,masculino
Abenilda,Sudeste,10,feminino
Abenilde,Sudeste,13,feminino
Abenildo,Nordeste,43,masculino
Abenilson,Nordeste,13,masculino
Aberlado,Sudeste,80,masculino
Aberlardo,Sudeste,26,masculino
Abertina,Sudeste,13,feminino
Aberto,Sudeste,44,masculino
Abeu,Sudeste,21,masculino
Abgail,Sudeste,927,feminino
Abgair,Sudeste,27,feminino
Abia,Sudeste,73,feminino
Abiana,Sudeste,16,feminino
Abias,Sudeste,43,masculino
Abib,Sudeste,14,desconhecido
Abidias,Nordeste,124,masculino
Abidiel,Sudeste,10,masculino
Abidon,Centro-Oeste,10,masculino
Abidu,Sudeste,11,desconhecido
Abiel,Sudeste,11,masculino
Abigail,Sudeste,3634,feminino
Abigair,Sudeste,29,feminino
Abigaiu,Sudeste,68,Indefinido
Abilene,Nordeste,106,feminino
Abilho,Sudeste,28,masculino
Abilia,Sudeste,38,feminino
Abilio,Sudeste,4003,masculino
Abimael,Nordeste,1268,masculino
Abinadabe,Nordeste,25,masculino
Abinael,Sudeste,28,masculino
Abinaldo,Sudeste,11,masculino
Abine,Sudeste,16,masculino
Abiner,Sudeste,124,masculino
Abinoan,Sudeste,15,ambos
Abir,Sul,16,desconhecido
Abmael,Nordeste,493,masculino
Abnael,Nordeste,12,masculino
Abnaldo,Nordeste,12,masculino
Abne,Sudeste,113,masculino
Abner,Sudeste,5522,masculino
Abnoan,Nordeste,25,ambos
Abraao,Nordeste,4738,masculino
Abraham,Sudeste,76,masculino
Abrahan,Sudeste,14,desconhecido
Abrahao,Sudeste,197,masculino
Abrahim,Norte,16,desconhecido
Abraim,Norte,41,masculino
Abrain,Norte,31,masculino
Abram,Sudeste,49,desconhecido
Abramo,Sul,10,masculino
Abrao,Sudeste,1721,masculino
Abrelina,Sul,19,feminino
Abrelino,Sul,144,masculino
Abreu,Sudeste,38,masculino
Abriel,Sudeste,68,masculino
Abriela,Sudeste,41,feminino
Abrilino,Sul,10,masculino
Abruno,Sudeste,11,masculino
Absair,Centro-Oeste,23,masculino
Absalao,Centro-Oeste,20,masculino
Absolon,Sudeste,13,masculino
Abson,Sudeste,10,masculino
Abtonio,Sudeste,16,masculino
Abud,Sudeste,12,desconhecido
Acacia,Nordeste,886,feminino
Acacio,Sudeste,2132,masculino
Acarlos,Sudeste,19,masculino
Acasia,Nordeste,29,feminino
Acasio,Sudeste,110,masculino
Acassia,Nordeste,223,feminino
Acassio,Sudeste,706,masculino
Acaua,Sudeste,21,masculino
Accacio,Sudeste,36,masculino
Aceli,Sudeste,21,feminino
Acelia,Sul,32,feminino
Acelina,Sudeste,48,feminino
Acelino,Nordeste,205,masculino
Acelio,Sul,62,masculino
Acelmo,Sudeste,17,masculino
Acely,Sudeste,13,desconhecido
Acemar,Sul,11,masculino
Acendino,Sudeste,12,masculino
Acenildo,Norte,10,masculino
Achiles,Sudeste,92,masculino
Achille,Sudeste,15,desconhecido
Achilles,Sudeste,68,masculino
Aci,Sudeste,25,provavelmente_masculino
Acidalia,Nordeste,85,feminino
Acides,Sudeste,10,masculino
Acilda,Sul,13,feminino
Acilea,Sudeste,12,desconhecido
Acilene,Sudeste,28,feminino
Acilio,Sudeste,10,masculino
Acilon,Nordeste,22,masculino
Acimar,Sul,51,masculino
Acinelson,Norte,12,desconhecido
Acioli,Sudeste,12,masculino
Acione,Sudeste,19,provavelmente_feminino
Acir,Sul,2171,masculino
Acirema,Sudeste,11,feminino
Aclair,Sudeste,18,provavelmente_feminino
Aclecia,Sudeste,13,feminino
Aclecio,Sudeste,21,masculino
Acrisio,Nordeste,162,masculino
Acrizio,Nordeste,22,masculino
Acsa,Sudeste,218,feminino
Acson,Nordeste,12,masculino
Acucena,Sudeste,57,feminino
Acy,Sudeste,33,ambos
Acyr,Sudeste,160,masculino
Ada,Sudeste,1326,feminino
Adaberto,Sudeste,31,masculino
Adaci,Sudeste,22,feminino
Adacir,Sudeste,14,provavelmente_masculino
Adael,Sul,24,masculino
Adaelson,Sudeste,16,masculino
Adagilsa,Sudeste,21,feminino
Adagilson,Nordeste,15,masculino
Adagilza,Sudeste,12,feminino
Adagmar,Sudeste,16,feminino
Adahil,Nordeste,14,desconhecido
Adai,Sudeste,24,masculino
Adaiane,Sudeste,22,feminino
Adaias,Nordeste,116,masculino
Adaide,Sudeste,22,provavelmente_feminino
Adaides,Sudeste,10,provavelmente_feminino
Adail,Sudeste,1433,masculino
Adaila,Nordeste,20,feminino
Adailda,Nordeste,74,feminino
Adailde,Sudeste,86,feminino
Adaildes,Nordeste,81,feminino
Adaildo,Sudeste,103,masculino
Adailma,Nordeste,84,feminino
